method,variant,accuracy,ece,mce,brier_score,nll
temperature_scaling,consistency,0.93,0.05065611806520975,0.400107104895973,0.06434720303791289,0.2518198933512991
platt_scaling,consistency,0.93,0.06244114749977077,0.6328345824019198,0.07160136942296409,0.2777905295981075
isotonic_regression,consistency,0.93,0.06299766185185185,0.7142847142857143,0.07451477987399452,0.4636076892626979
raw,consistency,0.93,0.06777681444444461,0.499999,0.06851840518614852,0.8139203264605932
temperature_scaling,logit_margin,0.93,0.01861520566945801,0.18763974122750882,0.05645034066636136,0.18982695989318712
isotonic_regression,logit_margin,0.93,0.04766057710026283,0.7876184343695587,0.07207075896948106,0.22977555573558547
platt_scaling,logit_margin,0.93,0.04814074176445246,0.3669936211281716,0.06578072959651472,0.20981968806739387
raw,logit_margin,0.93,0.08225657786033448,0.14787085215021645,0.06447345551360857,0.22960447811323473
platt_scaling,simulated,0.93,0.06898272362601415,0.4385801575010446,0.07527301061230968,0.2389352674343969
temperature_scaling,simulated,0.93,0.07752827956841256,0.5629533099687918,0.08354276649453261,0.26255984826725837
isotonic_regression,simulated,0.93,0.08576586517002666,0.6090594454698689,0.08357178813017446,0.5241063606204991
raw,simulated,0.93,0.15455735801094908,0.3742980594322929,0.08911182419582031,0.2985522187276517
